eng,thai
move,เคลื่อนไหว
most,ที่สุด
seen,เห็น
live,สด
miss,นางสาว
actually,จริงๆ แล้ว
huh,ฮะ
shit,อึ
both,ทั้งสอง
heard,ได้ยิน
once,ครั้งหนึ่ง
ready,พร้อม
head,ศีรษะ
called,เรียกว่า
used,ใช้แล้ว
idea,ความคิด
knew,รู้ดี
hold,ถือ
happy,มีความสุข
door,ประตู
such,เช่น
fuck,มีเพศสัมพันธ์
brother,พี่ชาย
also,อีกด้วย
pretty,สวย
bit,นิดหน่อย
took,เอา
haven,ที่พักอาศัย
yet,ยัง
men,คน
whole,ทั้งหมด
start,เริ่ม
use,ใช้
while,ในขณะที่
since,เนื่องจาก
wife,ภรรยา
days,วัน
guess,เดา
tomorrow,พรุ่งนี้
matter,เรื่อง
meet,พบปะ
bring,นำมา
tonight,คืนนี้
everyone,ทุกคน
run,วิ่ง
wanna,อยาก
hard,แข็ง
ah,อา
alone,ตามลำพัง
myself,ตัวฉันเอง
school,โรงเรียน
gone,ไปแล้ว
um,อืม
end,จบ
saying,คำพูด
phone,โทรศัพท์
play,เล่น
looks,รูปลักษณ์
couldn,ไม่สามารถ
fucking,ร่วมเพศ
problem,ปัญหา
few,น้อย
friends,เพื่อน
gotta,ต้อง
ago,ที่ผ่านมา
open,เปิด
anyone,ใครก็ได้
killed,ถูกสังหาร
hope,หวัง
face,ใบหน้า
until,จนกระทั่ง
lost,สูญหาย
police,ตำรวจ
excuse,ขอโทษ
turn,เปลี่ยน
business,ธุรกิจ
case,กรณี
wants,ต้องการ
says,บอกว่า
TRUE,จริง
die,ตาย
heart,หัวใจ
soon,เร็วๆ นี้
each,แต่ละ
worry,กังวล
later,ภายหลัง
year,ปี
watch,นาฬิกา
music,ดนตรี
hand,มือ
having,มี
probably,อาจจะ
beautiful,สวย
doctor,หมอ
sit,นั่ง
eat,กิน
thinking,ความคิด
young,หนุ่มสาว
second,ที่สอง
working,ทำงาน
water,น้ำ
person,บุคคล
part,ส่วนหนึ่ง
kids,เด็ก
late,ช้า
stuff,สิ่งของ
exactly,อย่างแน่นอน
under,ภายใต้
death,ความตาย
minute,นาที
pay,จ่าย
crazy,คลั่งไคล้
forget,ลืม
everybody,ทุกคน
kid,เด็ก
change,เปลี่ยน
gave,ให้
happen,เกิดขึ้น
damn,สาปแช่ง
five,ห้า
drink,ดื่ม
far,ไกล
knows,รู้ดี
its,ของมัน
whatever,อะไรก็ตาม
eyes,ตา
shut,ปิด
aren,เวที
hit,ตี
taking,การเอาไป
easy,ง่าย
times,เวลา
check,ตรวจสอบ
hands,มือ
minutes,นาที
deal,ข้อเสนอ
different,แตกต่าง
means,วิธี
point,จุด
inside,ข้างใน
makes,ทำให้
asked,ถาม
somebody,ใครบางคน
mine,ของฉัน
making,การทำ
body,ร่างกาย
afraid,กลัว
sleep,นอน
chance,โอกาส
dear,ที่รัก
quite,ค่อนข้าง
four,สี่
anyway,ถึงอย่างไร
close,ปิด
ain,มี
party,งานสังสรรค์
fun,สนุก
against,ขัดต่อ
word,คำ
comes,มา
important,สำคัญ
set,ชุด
shall,จะ
story,เรื่องราว
number,ตัวเลข
daughter,ลูกสาว
least,น้อยที่สุด
waiting,การรอคอย
hurt,เจ็บ
wish,ประสงค์
moment,ช่วงเวลา
fight,ต่อสู้
week,สัปดาห์
husband,สามี
girls,สาว ๆ
rest,พักผ่อน
married,แต่งงานแล้ว
fire,ไฟ
game,เกม
nobody,ไม่มีใคร
mr,นาย
children,เด็ก
side,ด้านข้าง
stand,ยืน
read,อ่าน
though,แม้ว่า
cut,ตัด
started,เริ่ม
sister,น้องสาว
supposed,ที่ควร
between,ระหว่าง
child,เด็ก
goes,ไป
hours,ชั่วโมง
speak,พูด
women,ผู้หญิง
behind,ด้านหลัง
almost,เกือบ
truth,ความจริง
blood,เลือด
able,สามารถ
lady,ผู้หญิง
anymore,อีกต่อไป
playing,การเล่น
gets,ได้รับ
shot,การยิง
reason,เหตุผล
trouble,ปัญหา
break,หยุดพัก
war,สงคราม
city,เมือง
walk,เดิน
town,เมือง
trust,เชื่อมั่น
dr.,ดร.
met,พบกัน
office,สำนักงาน
question,คำถาม
brought,นำมา
yours,ของคุณ
welcome,ยินดีต้อนรับ
high,สูง
wow,ว้าว
couple,คู่
half,ครึ่ง
died,เสียชีวิต
cool,เย็น
free,ฟรี
either,ทั้ง
seems,ดูเหมือน
power,พลัง
whoa,โว้ว
bye,ลาก่อน
buy,ซื้อ
telling,บอกเล่า
honey,น้ำผึ้ง
tried,พยายาม
front,ด้านหน้า
team,ทีม
answer,คำตอบ
gun,ปืน
boys,เด็กชาย
line,ไลน์
send,ส่ง
news,ข่าว
stupid,โง่
bed,เตียง
hurry,รีบ
full,เต็ม
months,เดือน
save,บันทึก
sometimes,บางครั้ง
become,กลายเป็น
along,ตาม
hate,เกลียด
food,อาหาร
outside,ข้างนอก
light,แสงสว่าง
needs,ความต้องการ
dog,หมา
country,ประเทศ
clear,แจ่มใส
order,คำสั่ง
em,em
fact,ข้อเท็จจริง
lord,ขุนนาง
captain,กัปตัน
six,หก
hot,ร้อน
funny,ตลก
black,สีดำ
mrs.,นาง.
alive,มีชีวิตอยู่
pick,เลือก
feeling,ความรู้สึก
living,การดำรงชีวิต
cause,สาเหตุ
ahead,ข้างหน้า
lose,แพ้
king,กษัตริย์
plan,วางแผน
dinner,อาหารเย็น
sighs,ถอนหายใจ
sort,เรียงลำดับ
leaving,การทิ้ง
shouldn,ควรจะ
running,วิ่ง
boss,เจ้านาย
alright,ใช้ได้
promise,สัญญา
taken,ถ่าย
safe,ปลอดภัย
ma,MA
book,หนังสือ
sent,ส่งแล้ว
white,สีขาว
hour,ชั่วโมง
anybody,ใคร ๆ
small,เล็ก
perfect,สมบูรณ์แบบ
cause,สาเหตุ
lives,ชีวิต
special,พิเศษ
parents,ผู้ปกครอง
john,จอห์น
himself,ตัวเขาเอง
perhaps,บางที
sounds,เสียง
serious,จริงจัง
sick,ป่วย
company,บริษัท
ha,ฮา
scared,กลัว
uncle,ลุง
poor,ยากจน
red,สีแดง
past,อดีต
earth,โลก
possible,เป็นไปได้
shoot,ยิง
touch,สัมผัส
sound,เสียง
top,สูงสุด
ass,ตูด
laughs,เสียงหัวเราะ
cannot,ไม่ได้
asking,การขอ
win,ชนะ
glad,ยินดี
control,ควบคุม
hmm,อืม
human,มนุษย์
drive,ขับ
hair,ผม
jack,แจ็ค
bitch,ผู้หญิงเลว
luck,โชค
murder,การฆาตกรรม
happens,เกิดขึ้น
air,อากาศ
ten,สิบ
daddy,พ่อ
finally,ในที่สุด
chuckles,หัวเราะเบา ๆ
fast,เร็ว
cold,เย็น
seem,ดูเหมือน
laughing,การหัวเราะ
words,คำ
hospital,โรงพยาบาล
street,ถนน
hang,แขวน
dance,เต้นรำ
meeting,การประชุม
till,จนถึง
others,คนอื่น
catch,จับ
follow,ติดตาม
sense,ความรู้สึก
sex,เพศ
lie,โกหก
evening,ตอนเย็น
master,ผู้เชี่ยวชาญ
known,เป็นที่รู้จัก
dream,ฝัน
write,เขียน
million,ล้าน
voice,เสียง
sweet,หวาน
rather,ค่อนข้าง
felt,รู้สึก
sign,เข้าสู่ระบบ
lucky,โชคดี
somewhere,ที่ไหนสักแห่ง
bet,เดิมพัน
o,โอ
jesus,พระเยซู
longer,อีกต่อไป
calling,การโทร
worked,ทำงาน
quiet,เงียบ
looked,มองดู
less,น้อย
pull,ดึง
beat,ชนะ
careful,ระมัดระวัง
coffee,กาแฟ
return,กลับ
secret,ความลับ
weeks,หลายสัปดาห์
weren,ไม่ดี
date,วันที่
seeing,เห็น
fall,ตก
given,ที่ให้ไว้
ooh,Ooh
fault,ความผิดพลาด
straight,ตรง
takes,ใช้เวลา
song,เพลง
future,อนาคต
gentlemen,สุภาพบุรุษ
loved,รัก
changed,เปลี่ยน
road,ถนน
calm,ความสงบ
wonderful,มหัศจรรย์
mad,โกรธ
turned,หัน
drop,หยด
ladies,ผู้หญิง
learn,เรียนรู้
step,ขั้นตอน
absolutely,อย่างแน่นอน
early,แต่แรก
explain,อธิบาย
clean,ทำความสะอาด
piece,ชิ้นส่วน
yesterday,เมื่อวาน
throw,โยน
picture,รูปภาพ
land,ที่ดิน
feet,เท้า
wonder,สิ่งมหัศจรรย์
questions,คำถาม
speaking,การพูด
worth,คุณค่า
darling,ที่รัก
dude,เพื่อน
giving,การให้
president,ประธาน
eye,ดวงตา
quick,เร็ว
moving,การเคลื่อนไหว
figure,รูป
state,สถานะ
strong,แข็งแกร่ง
sam,แซม
none,ไม่มี
amazing,อัศจรรย์
ones,คน
works,ผลงาน
act,กระทำ
needed,ที่ต้องการ
weird,แปลก
law,กฎ
worried,กังวล
report,รายงาน
goodbye,ลาก่อน
missing,หายไป
choice,ทางเลือก
happening,การเกิดขึ้น
chief,หัวหน้า
wedding,งานแต่งงาน
strange,แปลก
general,ทั่วไป
pain,ความเจ็บปวด
am,เป็น
kidding,ล้อเล่น
decided,ตัดสินใจแล้ว
ya,ย่า
pass,ผ่าน
tired,เหนื่อย
class,ระดับ
officer,เจ้าหน้าที่
kept,เก็บไว้
wake,ตื่น
worse,แย่ลง
busy,ไม่ว่าง
eh,เอ๊ะ
mistake,ความผิดพลาด
kiss,จูบ
court,สนาม
building,อาคาร
finish,เสร็จ
during,ในระหว่าง
age,อายุ
ship,เรือ
caught,จับได้
marry,แต่งงาน
meant,หมายถึง
sell,ขาย
dark,มืด
watching,การรับชม
system,ระบบ
suppose,สมมติ
evidence,หลักฐาน
movie,ภาพยนตร์
ride,ขี่
completely,อย่างสมบูรณ์
mouth,ปาก
totally,โดยสิ้นเชิง
birthday,วันเกิด
tv,โทรทัศน์
forgive,ให้อภัย
born,เกิด
imagine,จินตนาการ
information,ข้อมูล
instead,แทนที่
definitely,อย่างแน่นอน
security,ความปลอดภัย
certainly,แน่นอน
film,ฟิล์ม
month,เดือน
lying,โกหก
unless,เว้นแต่
train,รถไฟ
seven,เจ็ด
wear,สวมใส่
clothes,เสื้อผ้า
michael,ไมเคิล
hotel,โรงแรม
christmas,คริสต์มาส
attack,จู่โจม
hasn,เครื่องดื่ม
round,กลม
expect,คาดหวัง
sing,ร้องเพลง
terrible,ย่ำแย่
george,จอร์จ
bag,ถุง
history,ประวัติศาสตร์
blue,สีฟ้า
near,ใกล้
broke,แตกหัก
station,สถานี
seriously,อย่างจริงจัง
forever,ตลอดไป
david,เดวิด
frank,ตรงไปตรงมา
except,ยกเว้น
thinks,คิด
message,ข้อความ
entire,ทั้งหมด
joe,โจ
table,โต๊ะ
talked,ที่ได้พูดคุย
across,ข้าม
rock,หิน
lovely,น่ารัก
handle,รับมือ
middle,กลาง
buddy,เพื่อน
paid,จ่าย
protect,ปกป้อง
using,โดยใช้
floor,พื้น
ran,วิ่ง
swear,สาบาน
spend,ใช้จ่าย
situation,สถานการณ์
ring,แหวน
anywhere,ทุกที่
dangerous,อันตราย
bill,ใบแจ้งหนี้
york,ยอร์ค
army,กองทัพ
lead,ตะกั่ว
bought,ซื้อแล้ว
finished,เสร็จ
fair,ยุติธรรม
sun,ดวงอาทิตย์
letter,จดหมาย
fool,คนโง่
attention,ความสนใจ
club,สโมสร
simple,เรียบง่าย
interesting,น่าสนใจ
space,ช่องว่าง
test,ทดสอบ
box,กล่อง
group,กลุ่ม
single,เดี่ยว
sitting,การนั่ง
marriage,การแต่งงาน
join,เข้าร่วม
fear,กลัว
peace,สันติภาพ
forgot,ลืม
force,บังคับ
short,สั้น
normal,ปกติ
charlie,ชาร์ลี
present,ปัจจุบัน
enjoy,เพลิดเพลิน
mike,ไมค์
crime,อาชญากรรม
horse,ม้า
ground,พื้น
american,เกี่ยวกับอเมริกา
count,นับ
area,พื้นที่
charge,ค่าใช้จ่าย
honor,ให้เกียรติ
lunch,อาหารกลางวัน
miles,ไมล์
radio,วิทยุ
idiot,งี่เง่า
ball,ลูกบอล
surprise,เซอร์ไพรส์
paper,กระดาษ
key,กุญแจ
boat,เรือ
quickly,อย่างรวดเร็ว
gold,ทอง
bar,บาร์
fish,ปลา
mark,เครื่องหมาย
tom,ทอม
wearing,น่าเหนื่อยหน่าย
crying,ร้องไห้
accident,อุบัติเหตุ
government,รัฐบาล
eight,แปด
fell,ล้ม
cover,ปิดบัง
certain,แน่ใจ
interested,สนใจ
deep,ลึก
star,ดาว
sea,ทะเล
agree,เห็นด้วย
problems,ปัญหา
detective,นักสืบ
prison,คุก
major,วิชาเอก
stick,ติด
offer,เสนอ
difficult,ยาก
smart,ฉลาด
personal,ส่วนตัว
record,บันทึก
stopped,หยุด
hide,ซ่อน
whether,ไม่ว่า
bank,ธนาคาร
trip,การเดินทาง
relax,ผ่อนคลาย
america,อเมริกา
public,สาธารณะ
list,รายการ
afternoon,ตอนบ่าย
brain,สมอง
fix,แก้ไข
bastard,ไอ้
proud,ภูมิใจ
tea,ชา
service,บริการ
screaming,ร้องลั่น
forward,ซึ่งไปข้างหน้า
angry,โกรธ
park,สวน
soul,วิญญาณ
fighting,การต่อสู้
peter,ปีเตอร์
rich,รวย
agent,ตัวแทน
blow,เป่า
paul,เปาโล
dress,ชุด
mary,แมรี่
missed,ไม่ได้ผล
scene,ฉาก
killing,การสังหาร
standing,การยืน
saved,ที่ได้รับการช่วยเหลือ
mm,มม.
respect,เคารพ
killer,นักฆ่า
ice,น้ำแข็ง
mess,ความยุ่งเหยิง
tough,ยาก
feels,ความรู้สึก
church,คริสตจักร
sad,เศร้า
cell,ห้องขัง
drunk,เมา
share,แบ่งปัน
camera,กล้อง
mm-hmm,mm-hmm
within,ภายใน
card,การ์ด
fly,บิน
ben,เบ็น
girlfriend,แฟน
laugh,หัวเราะ
smell,กลิ่น
broken,แตกหัก
mum,แม่
honest,ซื่อสัตย์
often,มักจะ
starting,ที่เริ่มต้น
calls,การโทร
spent,ค่าใช้จ่าย
third,ที่สาม
english,ภาษาอังกฤษ
visit,เยี่ยม
mama,แม่
judge,ผู้พิพากษา
window,หน้าต่าง
hungry,หิว
dare,กล้า
relationship,ความสัมพันธ์
moved,ที่ถูกย้าย
prove,พิสูจน์
private,ส่วนตัว
wall,กำแพง
seat,ที่นั่ง
position,ตำแหน่ง
lieutenant,ผู้หมวด
realize,ตระหนัก
especially,โดยเฉพาะ
machine,เครื่องจักร
walking,ที่เดิน
art,ศิลปะ
pleasure,ความสุข
bloody,มีเลือด
college,วิทยาลัย
french,ภาษาฝรั่งเศส
involved,ที่เกี่ยวข้อง
cry,ร้องไห้
became,กลายเป็น
lived,อาศัยอยู่
impossible,เป็นไปไม่ได้
obviously,อย่างชัดเจน
neither,ไม่ใช่ทั้งสองอย่าง
accept,ยอมรับ
boyfriend,แฟน
besides,นอกจาก
queen,ราชินี
teacher,ครู
cops,ตำรวจ
sake,เหล้าสาเก
loves,รัก
carry,พก
teach,สอน
apartment,อพาร์ทเม้น
upset,อารมณ์เสีย
green,เขียว
la,ลา
liked,ชอบ
cute,น่ารัก
evil,ความชั่วร้าย
professor,ศาสตราจารย์
contact,ติดต่อ
joke,เรื่องตลก
cop,ตำรวจ
huge,ใหญ่
holy,ศักดิ์สิทธิ์
store,เก็บ
jail,คุก
likes,ชอบ
lawyer,ทนายความ
doubt,สงสัย
continue,ดำเนินต่อ
appreciate,ชื่นชม
cat,แมว
shop,ร้านค้า
driving,การขับรถ
congratulations,ยินดีด้วย
wrote,เขียน
village,หมู่บ้าน
quit,เลิก
field,สนาม
james,เจมส์
wine,ไวน์
decision,การตัดสินใจ
south,ใต้
sleeping,นอนหลับ
slow,ช้า
laughter,เสียงหัวเราะ
island,เกาะ
glass,กระจก
beginning,จุดเริ่มต้น
cash,เงินสด
dying,กำลังจะตาย
hundred,ร้อย
whose,ของใคร
difference,ความแตกต่าง
plane,เครื่องบิน
push,ดัน
continues,ต่อ
mmm,อืมมม
singing,การร้องเพลง
eating,การกิน
north,ทิศเหนือ
mrs,นาง
tree,ต้นไม้
madam,มาดาม
gift,ของขวัญ
truck,รถบรรทุก
putting,การใส่
bear,หมี
board,กระดาน
grab,คว้า
beer,เบียร์
stuck,ติดอยู่
magic,มายากล
support,สนับสนุน
rules,กฎ
grunts,คำราม
partner,พันธมิตร
reach,เข้าถึง
wind,ลม
colonel,พันเอก
max,สูงสุด
immediately,โดยทันที
seconds,วินาที
thousand,พัน
gives,ให้
experience,ประสบการณ์
cheers,ไชโย
victim,เหยื่อ
upon,เมื่อ
computer,คอมพิวเตอร์
christ,พระคริสต์
planet,ดาวเคราะห์
promised,ตามที่สัญญา
bus,รสบัส
henry,เฮนรี่
dirty,สกปรก
search,ค้นหา
staying,การอยู่
dreams,ความฝัน
arrest,จับกุม
holding,การยึดครอง
suddenly,กะทันหัน
usually,โดยปกติ
lots,จำนวนมาก
shoes,รองเท้า
er,เอ่อ
jump,กระโดด
rid,กำจัด
yo,ยอ
knock,เคาะ
owe,เป็นหนี้
harry,แฮร์รี่
grow,เติบโต
worst,แย่ที่สุด
river,แม่น้ำ
aunt,ป้า
patient,อดทน
kitchen,ครัว
aah,aah
fat,อ้วน
passed,ผ่าน
final,สุดท้าย
summer,ฤดูร้อน
bob,บ๊อบ
listening,การฟัง
escape,หนี
everywhere,ทุกที่
moon,ดวงจันทร์
arms,แขน
turns,การเลี้ยว
address,ที่อยู่
ow,โอ๊ย
match,การแข่งขัน
gasps,อ้าปากค้าง
grand,ยิ่งใหญ่
yep,ใช่
shh,Shh
nervous,ประหม่า
de,เดอ
choose,เลือก
themselves,ตัวพวกเขาเอง
decide,ตัดสินใจ
mate,เพื่อน
drinking,การดื่ม
press,กด
bother,รบกวน
foot,เท้า
hadn,รก
blame,ตำหนิ
crap,อึ
drugs,ยาเสพติด
type,พิมพ์
rings,แหวน
mission,ภารกิจ
named,ชื่อ
heaven,สวรรค์
picked,ที่เลือก
paris,ปารีส
race,แข่ง
risk,เสี่ยง
books,หนังสือ
further,ไกลออกไป
danny,แดนนี่
action,การกระทำ
allowed,อนุญาต
orders,คำสั่งซื้อ
learned,ได้เรียนรู้
price,ราคา
arrived,มาถึงแล้ว
nick,นิค
otherwise,มิฉะนั้น
pictures,รูปภาพ
fit,พอดี
smoke,ควัน
favor,ความโปรดปราน
played,เล่น
notice,สังเกต
awesome,เจ๋ง
smile,รอยยิ้ม
director,ผู้อำนวยการ
guard,อารักขา
begin,เริ่ม
spot,จุด
surprised,น่าประหลาดใจ
innocent,ผู้บริสุทธิ์
narrator,ผู้บรรยาย
herself,ตัวเอง
london,กรุงลอนดอน
feelings,ความรู้สึก
enemy,ศัตรู
battle,การสู้รบ
ourselves,ตัวเราเอง
alex,อเล็กซ์
dollars,เงินดอลลาร์
allow,อนุญาต
nine,เก้า
gay,เกย์
department,สาขา
guilty,รู้สึกผิด
apart,ห่างกัน
earlier,ก่อนหน้านี้
duty,หน้าที่
jim,จิม
suit,สูท
bell,กระดิ่ง
west,ตะวันตก
legs,ขา
hero,ฮีโร่
destroy,ทำลาย
stage,เวที
bunch,กลุ่ม
according,ตาม
chicken,ไก่
bigger,ใหญ่โต
grunting,คำราม
low,ต่ำ
helping,การช่วยเหลือ
admit,ยอมรับ
closed,ปิด
names,ชื่อ
witness,พยาน
upstairs,ชั้นบน
arm,แขน
steal,ขโมย
jimmy,จิมมี่
kick,เตะ
twice,สองครั้ง
cross,ข้าม
ways,วิธีการ
sergeant,จ่า
indeed,อย่างแท้จริง
gas,แก๊ส
keeping,การเก็บรักษา
energy,พลังงาน
pregnant,ตั้งครรภ์
waste,ของเสีย
helped,ช่วยเหลือ
fired,ซึ่งถูกยิง
favorite,ที่ชื่นชอบ
tony,โทนี่
taste,รสชาติ
locked,ที่ถูกล็อค
places,สถานที่
writing,การเขียน
adam,อดัม
brothers,พี่น้อง
starts,เริ่มต้น
prince,เจ้าชาย
form,รูปร่าง
sold,ขายแล้ว
silly,โง่
mention,กล่าวถึง
build,สร้าง
throat,คอ
hole,รู
figured,ที่คิด
track,ติดตาม
ringing,ซึ่งส่งเสียงดัง
lock,ล็อค
leg,ขา
above,ข้างบน
hiding,การซ่อน
steve,สตีฟ
seemed,ดูเหมือน
breakfast,อาหารเช้า
engine,เครื่องยนต์
written,เขียนไว้
complete,เสร็จสิ้น
video,วิดีโอ
applause,เสียงปรบมือ
however,อย่างไรก็ตาม
pressure,ความกดดัน
fresh,สด
weapon,อาวุธ
sky,ท้องฟ้า
ms.,นางสาว.
stole,ยัก
study,ศึกษา
burn,เผา
reading,การอ่าน
crowd,ฝูงชน
treat,รักษา
roll,ม้วน
double,สองเท่า
spirit,วิญญาณ
danger,อันตราย
cost,ค่าใช้จ่าย
empty,ว่างเปล่า
level,ระดับ
memory,หน่วยความจำ
itself,ตัวเอง
acting,ทำหน้าที่
interest,น่าสนใจ
nose,จมูก
plans,แผน
following,กำลังติดตาม
bathroom,ห้องน้ำ
built,สร้าง
closer,ใกล้ชิด
ray,เรย์
sarah,ซาร่าห์
band,วงดนตรี
groans,เสียงครวญคราง
apparently,เห็นได้ชัดว่า
excited,ตื่นเต้น
richard,ริชาร์ด
losing,การสูญเสีย
animals,สัตว์
flight,เที่ยวบิน
nature,ธรรมชาติ
raise,ยก
pop,โผล่
client,ลูกค้า
bomb,ระเบิด
neck,คอ
suspect,สงสัย
warm,อบอุ่น
extra,พิเศษ
bottle,ขวด
van,รถตู้
heavy,หนัก
mommy,แม่
dogs,สุนัข
wild,ป่า
ridiculous,น่าขัน
simply,อย่างง่าย
lee,หี
animal,สัตว์
showed,แสดง
billy,บิลลี่
shooting,การยิง
keeps,เก็บไว้
camp,ค่าย
guns,ปืน
medical,ทางการแพทย์
shame,ความอัปยศ
hoping,หวัง
whom,ใคร
bird,นก
majesty,พระบาทสมเด็จพระเจ้าอยู่หัว
flowers,ดอกไม้
famous,มีชื่อเสียง
asleep,นอนหลับ
beauty,ความงาม
driver,คนขับรถ
keys,กุญแจ
rain,ฝน
awful,แย่มาก
large,ใหญ่
local,ท้องถิ่น
deserve,สมควรได้รับ
goddamn,Goddamn
stone,หิน
jane,เจน
grace,ความสง่างาม
consider,พิจารณา
weekend,สุดสัปดาห์
wondering,ที่สงสัย
lay,วาง
plenty,มากมาย
willing,เต็มใจ
pants,กางเกง
sweetheart,หวานใจ
skin,ผิว
excellent,ยอดเยี่ยม
asshole,ไอ้
beach,ชายหาด
c,ค
faith,ศรัทธา
beg,ขอ
fuckin,ไอ้
responsible,รับผิดชอบ
military,ทหาร
cheering,เชียร์
opportunity,โอกาส
common,ทั่วไป
bottom,ล่าง
german,ชาวเยอรมัน
whoever,ใครก็ตาม
cook,ทำอาหาร
walked,เดิน
papers,เอกสาร
justice,ความยุติธรรม
hall,ห้องโถง
commander,ผู้บังคับบัญชา
drug,ยา
main,หลัก
knife,มีด
devil,ปีศาจ
necessary,จำเป็น
although,แม้ว่า
princess,เจ้าหญิง
lights,แสงไฟ
flying,การบิน
dick,กระเจี๊ยว
rose,ดอกกุหลาบ
knowing,รู้ดี
clearly,อย่างชัดเจน
hat,หมวก
agreed,ตกลงกัน
johnny,จอห์นนี่
corner,มุม
code,รหัส
note,บันทึก
tommy,ทอมมี่
due,เนื่องจาก
correct,ถูกต้อง
apologize,ขอโทษ
language,ภาษา
stars,ดารา
